smiles,pce_1,cluster
[nH]1c2ccc3=C[SiH2]C=c3c2c2oc3cc(-c4scc5occc45)c4ccccc4c3c12,2.514337239321302,2
c1cc2cc3c4cscc4c4cc(cnc4c3cc2s1)-c1scc2CC=Cc12,1.977459578361755,0
[nH]1c(cc2c3cscc3c3ccc4c[nH]cc4c3c12)-c1ccccn1,0.9028684445533036,3
c1ccc([se]1)-c1cc2ncc3c(ccc4ccc5cscc5c34)c2o1,2.122340404164417,3
c1sc(c2Cccc12)-c1sc(-c2cnc(s2)-c2cccc3cCcc23)c2ccoc12,4.341408427310398,2
[SiH2]1C=Cc2[se]c3c4[se]c(cc4c4c[nH]cc4c3c12)-c1cccnc1,1.421593533836212,1
[nH]1c(cc2c1c1c3nsnc3c3cccnc3c1c1=C[SiH2]C=c21)-c1scc2C=C[SiH2]c12,5.098909471760551,0
c1cnc2c(ccc3c2c2cscc2c2cc(-c4cccc5nsnc45)c4=C[SiH2]C=c4c32)c1,5.369366325155484,0
c1ccc([se]1)-c1ccc(-c2ncc(s2)-c2cccc3nsnc23)c2c[nH]cc12,6.033825483640612,0
c1sc(C2=Cc3ccc4c(cnc5ccc6cocc6c45)c3[SiH2]2)c2nccnc12,7.028364053438104,0
c1ccc(s1)-c1cc2cc3c4nsnc4c4ccc5nsnc5c4c3cc2o1,6.397978005911904,0
[nH]1c2-c3oc(cc3Cc2c2c1ccc1ccccc21)-c1cccc2c[nH]cc12,0.5026587025164957,3
[nH]1c(ccc1-c1sc(-c2cccc3cscc23)c2ccsc12)-c1scc2ccCc12,2.7810818597571934,0
c1ncc(s1)-c1cnc2c(c1)oc1c2c2nsnc2c2ccc3ccccc3c12,4.882234756108603,0
c1ncc(s1)-c1cc2[se]c3ccc4=C[SiH2]C=c4c3c2[se]1,2.814644141893168,1
c1ccc(s1)-c1ccc(-c2ncc(-c3scc4nccnc34)c3nsnc23)c2ccccc12,9.993964326859713,0
c1sc(-c2cc3oc4c(sc5ccc6cocc6c45)c3cn2)c2nccnc12,7.358800710004916,0
c1cc2ncc3c(sc4cc(-c5scc6nccnc56)c5ccccc5c34)c2o1,7.481051038325164,0
c1sc(-c2cnc(s2)-c2ncc(s2)-c2scc3ccCc23)c2cc[SiH2]c12,4.952759785640277,2
[nH]1cccc1-c1cc2oc3c(ncc4ccc5=C[SiH2]C=c5c34)c2c2=C[SiH2]C=c12,4.251056681620673,3
c1sc(-c2cc3cc4cnc5ccc6=C[SiH2]C=c6c5c4cc3c3cscc23)c2nccnc12,7.603521746284953,0
C1C=CC=C1c1cc2c3c[nH]cc3c3c4sccc4oc3c2c2cocc12,1.4244564260520869,2
c1cc2cnc3c([se]c4cc(-c5scc6CC=Cc56)c5nsnc5c34)c2o1,4.586362265374948,3
[nH]1ccc2ncc3c(c4cocc4c4cc(-c5scc6[se]ccc56)c5cocc5c34)c12,2.9868468407581155,0
c1sc(C2=Cc3c([SiH2]2)c2ncc4ccc5cocc5c4c2c2=C[SiH2]C=c32)c2ccoc12,2.8924081569399744,2
c1cc2c3nsnc3c(cc2c2ccccc12)-c1cc2c(cn1)ccc1=CCC=c21,4.855964809985058,0
c1sc(-c2cc3c(s2)c2ccc4ccc5=CCC=c5c4c2c2=C[SiH2]C=c32)c2[SiH2]C=Cc12,2.8030144891318045,2
c1c-c2c(-[s]1)c1[se]c3ccc4cocc4c3c1c1c[SiH2]cc21,3.8337620185792254,1
c1ccc(o1)-c1ccc(nc1)-c1sc(-c2cccc3nsnc23)c2cc[SiH2]c12,5.450208477565445,0
c1ccc(s1)-c1ccc2c(c1)c1nsnc1c1c3c4c[nH]cc4ccc3c3ccccc3c21,3.160659252358425,0
c1cc2c3c[nH]cc3c3cc([se]c3c2o1)-c1cccs1,1.3965082749762403,1
C1C(=Cc2cnc3c4[SiH2]C=Cc4sc3c12)c1nccc2nsnc12,6.2261524923985565,3
