layer,head,patched_prediction,delta_vs_target,delta_vs_source
1,0,-0.902592658996582,0.013219833374023438,-1.7332508563995361
1,1,-0.9150846004486084,0.0007278919219970703,-1.7457427978515625
1,2,-0.783888578414917,0.13192391395568848,-1.614546775817871
1,3,-0.9040207862854004,0.011791706085205078,-1.7346789836883545
1,4,-0.8964841365814209,0.01932835578918457,-1.727142333984375
1,5,-0.9157445430755615,6.794929504394531e-05,-1.7464027404785156
1,6,-0.8721559047698975,0.04365658760070801,-1.7028141021728516
1,7,-0.910952091217041,0.004860401153564453,-1.7416102886199951
1,8,-0.6685786247253418,0.24723386764526367,-1.499236822128296
1,9,-0.6292314529418945,0.28658103942871094,-1.4598896503448486
1,10,-0.9158015251159668,1.0967254638671875e-05,-1.746459722518921
1,11,-0.8826777935028076,0.03313469886779785,-1.7133359909057617
2,0,-0.8770899772644043,0.03872251510620117,-1.7077481746673584
2,1,-0.9141616821289062,0.0016508102416992188,-1.7448198795318604
2,2,-0.8899905681610107,0.025821924209594727,-1.7206487655639648
2,3,-0.8495655059814453,0.06624698638916016,-1.6802237033843994
2,4,-0.8803195953369141,0.035492897033691406,-1.7109777927398682
2,5,-0.9179580211639404,-0.002145528793334961,-1.7486162185668945
2,6,-0.8867988586425781,0.029013633728027344,-1.7174570560455322
2,7,-0.9040713310241699,0.011741161346435547,-1.734729528427124
2,8,-0.8901791572570801,0.02563333511352539,-1.7208373546600342
2,9,-0.9129049777984619,0.0029075145721435547,-1.743563175201416
2,10,-0.9236798286437988,-0.00786733627319336,-1.754338026046753
2,11,-0.7999763488769531,0.11583614349365234,-1.6306345462799072
3,0,-0.783043384552002,0.13276910781860352,-1.613701581954956
3,1,-0.7889163494110107,0.12689614295959473,-1.6195745468139648
3,2,-0.7327239513397217,0.1830885410308838,-1.5633821487426758
3,3,-0.9111053943634033,0.0047070980072021484,-1.7417635917663574
3,4,-0.6725363731384277,0.24327611923217773,-1.5031945705413818
3,5,-0.874859094619751,0.04095339775085449,-1.705517292022705
3,6,-0.8085885047912598,0.1072239875793457,-1.6392467021942139
3,7,-0.764385461807251,0.1514270305633545,-1.595043659210205
3,8,-0.5319662094116211,0.3838462829589844,-1.3626244068145752
3,9,-0.7148177623748779,0.20099472999572754,-1.545475959777832
3,10,-0.8511133193969727,0.06469917297363281,-1.6817715167999268
3,11,-0.7056546211242676,0.2101578712463379,-1.5363128185272217
